Hotel Name,Type,Classification,Rooms,latitude,longitude,,,
Radisson Hotel Riyadh Airport,Hotels,Unclassified,420,24.9143068,46.68884,,,
Mariott,Hotels,Unclassified,339,24.6859161,46.712343,,,
Doma House Serviced Apartments Residential Units,Serviced Apartments,Standard,37,24.830693,46.691907,,,
Makarem Hotel,Serviced Apartments,Standard,25,24.830418,46.691403,,,
Fedan Furnished Residential Units,Serviced Apartments,Standard,14,24.830133,46.690651,,,
Mida Serviced Apartments,Serviced Apartments,Standard,24,24.829516,46.689407,,,
Land Beach,Serviced Apartments,Standard,37,24.828084,46.685597,,,
Coupard Hotel,Hotels,Unclassified,50,24.836884,46.683993,,,
Narmiss Furnished Apartments,Serviced Apartments,Standard,28,24.83711,46.684413,,,
Luluat An Narjis Furnished Apartments,Serviced Apartments,Unclassified,11,24.839973,46.682915,,,
Beautiful Moment Furnished Apartments,Serviced Apartments,Standard,33,24.844726,46.684022,,,
Samt Serviced Apartments,Serviced Apartments,Standard,34,24.84359,46.679908,,,
Layali Al Narjes,Serviced Apartments,Standard,18,24.845261,46.680551,,,
Layali Riyadh Furnished Apartments,Serviced Apartments,Standard,17,24.84471,46.677767,,,
Marbella Resort,Hostels,Premium,16,24.816484,46.434091,,,
Locasort,Hotels,Unclassified,11,24.807308,46.429085,,,
Najdarah Resorts,Holiday Houses (Chalets),Unclassified,6,24.800099,46.389748,,,
Dorat Najd Resort,Hotels,‚≠ê,88,24.807593,46.519871,,,
Open Hotel Serviced Apartments,Serviced Apartments,Unclassified,43,24.832161,46.743765,,,
Radisson Blu,Hotels,Unclassified,105,24.6708028,46.7188387,,,
Rest Deluxe Furnished Apartments,Serviced Apartments,Unclassified,28,24.83644,46.736946,,,
Manazl Al Dana Hospitality Services,Hotels,Unclassified,76,24.85397,46.772746,,,
Dilan Resort,Hotels,‚≠ê‚≠ê‚≠ê,14,24.860878,46.787366,,,
Lador Entertainment Foundation,Holiday Houses (Chalets),Standard,10,24.869123,46.823558,,,
Katara Furnished Apartments,Serviced Apartments,Standard,16,24.80362,46.727792,,,
Katara Furnished Residential Units,Serviced Apartments,Standard,20,24.800794,46.72993,,,
Nelover Qurtubah Hotel,Serviced Apartments,Standard,36,24.806658,46.734778,,,
Al Bayt Al Sharqi Furnished Residential Units - 17 Units,Serviced Apartments,Standard,17,24.803576,46.742425,,,
Durar Laurette Furnished Residential Units,Serviced Apartments,Standard,21,24.803747,46.742204,,,
Talia Furnished Residential Units,Serviced Apartments,Unclassified,25,24.804517,46.742511,,,
"Intour Residential Units, 30 units",Serviced Apartments,Unclassified,37,24.803139,46.742627,,,
Nital,Serviced Apartments,Unclassified,16,24.805777,46.747148,,,
Alargan Dream Serviced Apartments,Serviced Apartments,Standard,11,24.807957,46.746965,,,
Loloat Al Narjes Furnished Residential Units,Serviced Apartments,Premium,21,24.808438,46.750381,,,
Refal Housing Serviced Apartments,Serviced Apartments,Standard,38,24.809072,46.749997,,,
Najd Peak Hotel Apartments,Serviced Apartments,Standard,49,24.814524,46.760355,,,
Danah Al Monsiyah Furnished Apartments,Serviced Apartments,Standard,17,24.819818,46.759263,,,
Arkan Al Taeawun Furnished Residential Units,Serviced Apartments,Standard,26,24.815565,46.768511,,,
Mawten Atheer Suites Furnished Residential Units,Serviced Apartments,Standard,28,24.818609,46.770337,,,
Lara Star,Serviced Apartments,Standard,36,24.815302,46.771485,,,
Dorra Suites,Serviced Apartments,Unclassified,27,24.827338,46.783913,,,
Dar Artal Serviced Apartments,Serviced Apartments,Standard,18,24.827574,46.784373,,,
Suhool Furnished Residential Units,Serviced Apartments,Standard,73,24.8315486,46.806745,,,
Rose Van Hotel Apartments,Serviced Apartments,Standard,33,24.833897,46.806257,,,
Smayah Hotels & Resorts,Hotels,‚≠ê‚≠ê,38,24.8487105,46.8238958,,,
Iris Boutique Granada Hotel,Hotels,‚≠ê‚≠ê‚≠ê,49,24.787604,46.73102,,,
Teyan Furnished Residential Units,Serviced Apartments,Unclassified,18,24.783521,46.736859,,,
Sahat Al Bunduqiyyah Furnished Apartments,Serviced Apartments,Standard,30,24.782757,46.736448,,,
Roha Kadi Furnished Residential Units Branch,Serviced Apartments,Standard,24,24.784188,46.736554,,,
Rahty Home Furnished Apartments,Serviced Apartments,Unclassified,32,24.785563,46.735502,,,
Granada Palace Inn Serviced Apartments,Serviced Apartments,Standard,52,"24.788065,",46.736597,,,
Samaya,Serviced Apartments,Premium,26,24.789007,46.734495,,,
Al Halyun Furnished Apartments,Serviced Apartments,Standard,28,"24.789418,",46.735424,,,
Meral Crown Hotel,Hotels,‚≠ê‚≠ê‚≠ê,71,24.790448,46.73768,,,
Janat Al Areef ApartHotel,Serviced Apartments,Premium,53,24.790732,46.738976,,,
Jawharat Granada Furnished Residential Units,Serviced Apartments,Standard,11,24.792672,46.734862,,,
Bair Roufan Furnished Residential Units,Serviced Apartments,Standard,23,24.794459,46.734864,,,
Melissa Hotel,Hotels,Unclassified,101,24.791721,46.740875,,,
Shajarat Al Tariq Furnished Apartments,Serviced Apartments,Standard,14,24.791168,46.740214,,,
Ray Kady Branch Serviced Apartments,Serviced Apartments,Standard,21,24.789686,46.741778,,,
Noorseen Apartment hotel,Serviced Apartments,Unclassified,22,24.789838,46.742106,,,
Sweet Homes Furnished Residential Units,Serviced Apartments,Standard,36,24.803958,46.759516,,,
Al Olaya Suites Furnished Residential Units,Serviced Apartments,Standard,19,24.808411,46.764344,,,
Majales Al Bayan Furnished Residential Units,Serviced Apartments,Standard,32,24.808959,46.764267,,,
Loaloa Serviced Apartments,Serviced Apartments,Standard,30,24.806919,46.765941,,,
Majdain Furnished Residential Units,Serviced Apartments,Unclassified,28,24.806919,46.765941,,,
Danah Riyadh Furnished Apartments,Serviced Apartments,Unclassified,28,24.813899,46.780652,,,
Al Ahdab Furnished Residential Units,Serviced Apartments,Standard,22,24.815098,46.785894,,,
Raw'at Al Massa' Serviced Apartments,Serviced Apartments,Standard,24,24.81156,46.787796,,,
Al Maamoura Residential Units,Serviced Apartments,Standard,25,24.813462,46.786825,,,
Al Narjes Suites,Serviced Apartments,Standard,26,24.819105,46.788441,,,
Comfort Inn Hotel Suites,Serviced Apartments,Standard,30,24.814939,46.796176,,,
AlRahden Company CJSC,Hotels,‚≠ê‚≠ê‚≠ê,63,24.823498,46.797292,,,
"Tallin Furnished Residential Apartments, 18 units",Serviced Apartments,Unclassified,22,24.81484,46.797025,,,
Basmat Al Sharqiah Furnished Residential Units,Serviced Apartments,Unclassified,35,24.814212,46.795593,,,
Golden Inn,Serviced Apartments,Standard,30,24.815939,46.79965,,,
Al Malqa Palace Furnished Residential Units,Serviced Apartments,Standard,39,24.81614,46.800169,,,
Dar Artal Furnished Residential Units,Serviced Apartments,Standard,33,24.816546,46.800855,,,
Savan Furnished Apartments,Serviced Apartments,Unclassified,31,24.815118,46.803432,,,
Jood Serviced Residential Units,Serviced Apartments,Unclassified,24,24.79863,46.7718,,,
Najmat Soar Furnished Units,Serviced Apartments,Standard,29,24.799597,46.771507,,,
Rafal Al Sharq Furnished Residential Units,Serviced Apartments,Standard,31,24.80477,46.77314,,,
Braira Hotel,Hotels,‚≠ê‚≠ê‚≠ê‚≠ê,84,24.795563,46.775188,,,
Rawdat Al Riyadh Furnished Residential Units,Serviced Apartments,Premium,24,24.801691,46.781257,,,
Laylati Residential Units,Serviced Apartments,Unclassified,24,24.801551,46.782417,,,
Nozol Al Qamar Apartments,Serviced Apartments,Standard,12,24.805326,46.78064,,,
Takala Hotel Apartments,Serviced Apartments,Standard,25,24.807344,46.783261,,,
Silent Room,Serviced Apartments,Standard,47,24.811958,46.79022,,,
Mubarak Palace 3 Furnished Residential Units,Serviced Apartments,Standard,15,24.809065,46.800497,,,
"Al Karama Towers Furnished Residential Units, 31 apartments",Serviced Apartments,Standard,31,24.812513,46.805131,,,
Ejaz Furnished Apartments,Serviced Apartments,Standard,31,24.811297,46.806197,,,
Kenz Al Saad Hotel Apartments,Serviced Apartments,Premium,42,24.769702,46.757002,,,
Rest Night Hotel Apartments,Serviced Apartments,Standard,60,24.7828161,46.6728418,,,
Shorfa Aparthotel,Serviced Apartments,Unclassified,34,24.773426,46.760209,,,
Auris Al Fanar,Hotels,‚≠ê,29,24.7736709,46.7606614,,,
Marasina Suites,Serviced Apartments,Standard,47,24.773893,46.761358,,,
Hudu Almasa Apartment Hotel,Serviced Apartments,Standard,40,24.774018,46.76158,,,
Taj Al Hamra Furnished Residential Units,Serviced Apartments,Standard,35,24.776923,46.766661,,,
Al Jazira Group Residential Units,Serviced Apartments,Premium,25,24.779882,46.774488,,,
Lavera Inn Hotel,Hotels,‚≠ê‚≠ê‚≠ê,41,24.7901357,46.7646396,,,
Al Joon Furnished Apartments,Serviced Apartments,Standard,43,24.79293,46.774802,,,
Al Quba Palace Furnished Apartments,Serviced Apartments,Standard,48,24.793311,46.774491,,,
Al Madar Park Serviced Apartments,Serviced Apartments,Unclassified,18,24.788744,46.776884,,,
Raha Homes Furnished Residential Units,Serviced Apartments,Standard,21,24.787809,46.777981,,,
Comfortable Guest Furnished Residential Units,Serviced Apartments,Standard,30,24.784629,46.782239,,,
Rest Place Furnished Apartments,Serviced Apartments,Standard,25,24.787574,46.780691,,,
Suhail Star,Serviced Apartments,Standard,23,24.788413,46.780218,,,
Rokun Aknan Hotel,Serviced Apartments,Standard,26,24.789563,46.782695,,,
Rafaha Furnished Apartments,Serviced Apartments,Standard,19,24.801411,46.813393,,,
Masiyat Al Khaleej Furnished Apartments,Serviced Apartments,Standard,14,24.802778,46.804497,,,
Fakhamat Al Rayan Aparthotel,Serviced Apartments,Unclassified,23,24.818506,46.833455,,,
Bayt Al Sahab Furnished Residential Units,Serviced Apartments,Standard,22,24.794287,46.849578,,,
Home Furnished Apartments,Serviced Apartments,Standard,20,24.782307,46.832758,,,
Kayan Suites,Serviced Apartments,Standard,29,24.782196,46.831644,,,
Sama Nadrin Furnished Residential Units,Serviced Apartments,Standard,24,24.782781,46.833059,,,
Wons Furnished Residential Units,Serviced Apartments,Standard,19,24.781225,46.832316,,,
Address Towers Furnished Residential Units,Serviced Apartments,Unclassified,20,24.780556,46.83213,,,
Laylat Hayati 2 Furnished Apartments,Serviced Apartments,Standard,15,24.780244,46.83222,,,
Rawdat Al Bustan Furnished Residential Units,Serviced Apartments,Standard,24,24.779806,46.832718,,,
Orchida Turaif Furnished Apartments,Serviced Apartments,Unclassified,20,24.779473,46.83276,,,
Towlan Serviced Apartments,Serviced Apartments,Luxury,50,24.775399,46.834651,,,
Sadan Furnished Residential Units,Serviced Apartments,Standard,21,24.772798,46.837809,,,
Al Rowaisan Furnished Units,Serviced Apartments,Standard,52,24.770758,46.839129,,,
Burj Al Enwan Residential Units,Serviced Apartments,Standard,42,24.77072,46.839225,,,
Flora Residential Units,Serviced Apartments,Unclassified,48,24.718831,46.774091,,,
Samaya Suites Furnished Units - 32 Residential Units,Serviced Apartments,Premium,31,24.755826,46.742221,,,
Abat Residential Units,Serviced Apartments,Standard,28,24.759945,46.75094,,,
Najmat Manami Furnished Residential Units,Serviced Apartments,Standard,27,24.748547,46.746723,,,
White Garden Furnished Residential Units,Serviced Apartments,Unclassified,23,24.749059,46.747799,,,
Mocador,Serviced Apartments,Standard,35,24.749722,46.759398,,,
Nelover Al Rawdah,Serviced Apartments,Standard,66,24.736137,46.760687,,,
Al-Juina Castle Furnished Residential Units,Serviced Apartments,Unclassified,30,24.724,46.767191,,,
Nafnafah Furnished Residential Units,Serviced Apartments,Standard,12,24.7665233,46.7679647,,,
"Hydrangea Hotel Co., Ltd. OPC",Hotels,Unclassified,94,24.770734,46.768362,,,
Mada Furnished Residential Units,Serviced Apartments,Premium,28,24.769472,46.769261,,,
Sarabiyah Furnished Residential Units,Serviced Apartments,Standard,43,24.771439,46.777263,,,
Azha Star Furnished Residential Units,Serviced Apartments,Standard,13,24.757259,46.778897,,,
Samaya Furnished Apartments,Serviced Apartments,Standard,35,24.754691,46.780192,,,
Marfa Al Ahlam Furnished Residential Units,Serviced Apartments,Standard,18,24.758484,46.788711,,,
The Golden Garden Residential Units,Serviced Apartments,Standard,61,24.759266,46.78894,,,
New Ruve Serviced Apartments,Serviced Apartments,Standard,28,24.759535,46.800274,,,
Tulipe House Furnished Apartments,Serviced Apartments,Standard,25,24.759264,46.800541,,,
Rose Tulip Hotel Apartments,Serviced Apartments,Standard,24,24.749751,46.780003,,,
Bzul Serviced Apartments,Serviced Apartments,Standard,20,24.753978,46.803695,,,
Bzul Residential Units,Serviced Apartments,Unclassified,20,24.753978,46.803695,,,
Dar Meassen Furnished Residential Units,Serviced Apartments,Standard,24,24.75369,46.803923,,,
Alnamareq Almurihah Serviced Apartments,Serviced Apartments,Standard,22,24.747377,46.810618,,,
Ajmal Alqsoor Serviced Apartments,Serviced Apartments,Standard,22,24.788544,46.809299,,,
Taleen Serviced Apartments,Serviced Apartments,Unclassified,17,24.789286,46.808462,,,
Boudl Gaber Hotel,Serviced Apartments,Luxury,38,24.7945625,46.8181875,,,
White Pearl Company Ltd. OPC,Hotels,‚≠ê‚≠ê‚≠ê,40,24.794417,46.818292,,,
Al Rafahya Crown  Furnished Residential Units,Serviced Apartments,Standard,33,24.793234,46.8193,,,
Amwaj Al Wosta Furnished Apartments,Serviced Apartments,Standard,36,24.779813,46.812313,,,
Branch of Laylat Hayati Furnished Apartments,Serviced Apartments,Standard,20,24.785949,46.824595,,,
Durrat Al Masa Palace,Serviced Apartments,Standard,32,24.783119,46.826659,,,
Afaq Al Sahara Furnished Apartments,Serviced Apartments,Unclassified,18,24.778397,46.822719,,,
Ritan Aparthotel,Serviced Apartments,Standard,15,24.776194,46.824377,,,
"Ezz Al Fakhama Furnished Residential Units, number of units",Serviced Apartments,Standard,16,24.7749325,46.8252841,,,
Revan Palace,Serviced Apartments,Standard,25,24.779535,46.829289,,,
Saraya Al Khaleej Furnished Apartments,Serviced Apartments,Unclassified,25,24.761677,46.817695,,,
Mubarak Palace Serviced Apartments,Serviced Apartments,Standard,19,24.760115,46.817708,,,
Kadi Palace Furnished Residential Units,Serviced Apartments,Standard,22,24.761189,46.825182,,,
Shadia Serviced Apartments,Serviced Apartments,Standard,18,24.808859,46.867156,,,
Wings Karawan Furnished Residential Units,Serviced Apartments,Standard,17,24.790537,46.871979,,,
Sahab Al Riyadh Serviced Apartments,Serviced Apartments,Standard,21,24.737768,46.806283,,,
Taj Al Itqan Furnished Apartments,Serviced Apartments,Standard,55,24.756929,46.839372,,,
Al Samow Furnished Units,Serviced Apartments,Standard,9,24.75014,46.841824,,,
Jawahir Al Sharq Residential Units,Serviced Apartments,Unclassified,38,24.738099,46.818109,,,
Mod al Arab Residential Units,Serviced Apartments,Standard,24,24.733153,46.822769,,,
Jawarat Qasr Al Safwa Furnished Apartments,Serviced Apartments,Unclassified,22,24.751861,46.845979,,,
Aseel Alsharq Hotel,Serviced Apartments,Unclassified,19,24.752437,46.845717,,,
Al Bateel Serviced Apartments,Serviced Apartments,Standard,22,24.750493,46.847015,,,
Safa Al Thurayya Furnished Residential Units,Serviced Apartments,Standard,14,24.727306,46.832133,,,
Asmaa Residential Units,Serviced Apartments,Unclassified,28,24.721326,46.825465,,,
Al Rimal Furnished Apartments,Serviced Apartments,Standard,27,24.733772,46.854101,,,
Jawharat Al Arab Furnished Residential Units,Serviced Apartments,Standard,36,24.719454,46.843376,,,
Dadan Furnished Residential Units,Serviced Apartments,Standard,21,24.717629,46.84459,,,
Shams Al Khayal Serviced Apartments,Serviced Apartments,Standard,24,24.717291,46.833012,,,
Danah Inn Furnished Residential Units,Serviced Apartments,Unclassified,24,24.687154,46.789224,,,
Marahel Furnished Residential Units,Serviced Apartments,Standard,31,24.690213,46.787598,,,
Dar Bailasan Furnished Residential Units,Serviced Apartments,Standard,46,24.694488,46.787592,,,
Al Rayan Hostel,Serviced Apartments,Standard,16,24.704027,46.770612,,,
Park Hayat Furnished Residential Units,Serviced Apartments,Standard,24,24.686811,46.790282,,,
Al Yakuta Al Zarqaa Furnished Residential Units,Serviced Apartments,Unclassified,29,24.686925,46.790168,,,
Doyouf Al Madinah,Serviced Apartments,Standard,23,24.685799,46.790943,,,
Kasr Al Roabi,Serviced Apartments,Standard,20,24.685189,46.7915,,,
Vivian Park Hotel Suites,Serviced Apartments,Luxury,27,24.683071,46.787045,,,
Durrat Al Rayyan Furnished Residential Units,Serviced Apartments,Standard,28,24.707623,46.774066,,,
Lordy Serviced Apartments,Serviced Apartments,Standard,25,24.70182,46.803681,,,
Omsiyat Al Sharq,Serviced Apartments,Standard,12,24.704876,46.840768,,,
Thara Al Madhi Residential Units,Serviced Apartments,Standard,26,24.689358,46.811478,,,
Diyafat Al Fayha' Furnished Apartments,Serviced Apartments,Standard,16,24.687865,46.803195,,,
World Countries Furnished Residential Units,Serviced Apartments,Standard,30,24.684946,46.801362,,,
